Flight_ID	plume_num	dat_flg	closest_fire	emission_pass_name	IsEmissionPass	SmkBkg_flg	Age_physical_avg_min	species	PRESSURE	TEMPERATURE	conc_smk	conc_bkg	XS_ppb	HONO_CIMS	sd_abs_conc	NEMR	CO	Benzene
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m129.05462..2_5_di_hydroxymethyl_furan_C6H8O3.H...Corr._ppb	866.0765177	294.753352	0.001093969	0	0.001093969	0.016294977	0.006074182	2.11E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m129.06988..napthalene_C10H8.H...Corr._ppb	866.0765177	294.753352	0.001034975	0	0.001034975	0.016294977	0.006702683	2.00E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m131.08553..dihydronapthalene_C10H10.H...Corr._ppb	866.0765177	294.753352	9.72E-05	0	9.72E-05	0.016294977	0.001543233	1.87E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m132.08077..methyl_benzeneacetonitrile_C9H9N.H...Corr._ppb	866.0765177	294.753352	6.72E-05	0	6.72E-05	0.016294977	0.001067251	1.30E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m133.06479..methyl_benzofuran_C9H8O.H...Corr._ppb	866.0765177	294.753352	0.000860354	0	0.000860354	0.016294977	0.00452785	1.66E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m133.10118..methyl_propenyl_benzene_C10H12.H...Corr._ppb	866.0765177	294.753352	0.006099411	0	0.006099411	0.016294977	0.011609408	1.18E-05	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m135.08044..3_methylacetophenone_C9H10O.H...Corr._ppb	866.0765177	294.753352	0.000960466	0	0.000960466	0.016294977	0.004545687	1.85E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m135.11683..C10_AROMATICS_C10H14.H_cal...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m137.05971..methyl_benzoic_acid_C8H8O2.H...Corr._ppb	866.0765177	294.753352	0.000703505	0	0.000703505	0.016294977	0.005137981	1.36E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m137.13248..MONOTERPENES_C10H16.H_cal...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m138.05496..nitrotoluene_C7H7NO2.H...Corr._ppb	866.0765177	294.753352	4.15E-05	0	4.15E-05	0.016294977	0.000658526	8.00E-08	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m139.07536..creosol_C8H10O2.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m143.08553..methyl_naphthalene_C11H10.H...Corr._ppb	866.0765177	294.753352	0.000476682	0	0.000476682	0.016294977	0.004360685	9.19E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m145.04954..levoglucosan_pyrolysis_product_C6H8O4.H...Corr._ppb	866.0765177	294.753352	0.000559705	0	0.000559705	0.016294977	0.004474068	1.08E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m145.06479..2_ethyl_benzofuran_C10H8O.H...Corr._ppb	866.0765177	294.753352	0.000351423	0	0.000351423	0.016294977	0.003212998	6.77E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m145.10118..ethylindene_C11H12.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m147.08044..dimethylbenzofuran_C10H10O.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m149.09610..estragole_C10H12O.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m149.13248..C11_aromatics_C11H16.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m151.07536..vinyl_guaiacol_C9H10O2.H...Corr._ppb	866.0765177	294.753352	0.000263527	0	0.000263527	0.016294977	0.002410024	5.08E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m153.05462..vanillin_C8H8O3.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m153.06987..acenaphthylene_C12H8.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m153.12739..camphor_C10H16O.H...Corr._ppb	866.0765177	294.753352	0.000163155	0	0.000163155	0.016294977	0.00188177	3.14E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m155.07027..syringol_C8H10O3.H...Corr._ppb	866.0765177	294.753352	8.66E-05	0	8.66E-05	0.016294977	0.001375051	1.67E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m155.14304..cineole_C10H18O.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m157.10118..1_3_dimethylnaphthalene_C12H12.H...Corr._ppb	866.0765177	294.753352	0.000130317	0	0.000130317	0.016294977	0.002068715	2.51E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m157.15869..decanal_C10H20O.H_.menthol....Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m163.14813..C12_aromatics_C12H18.H...Corr._ppb	866.0765177	294.753352	6.31E-05	0	6.31E-05	0.016294977	0.001000936	1.22E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m165.09101..eugenol_C10H12O2.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m177.16378..C13_aromatics_C13H20.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m205.19508..sesquiterpenes_C15H24.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m28.01817..HCN.H...Corr._ppb	866.0765177	294.753352	0.230553876	0	0.230553876	0.016294977	0.144071595	0.000444417	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m28.03075..ethene_C2H4....Corr._ppb	866.0765177	294.753352	0.002302732	0	0.002302732	0.016294977	0.025891187	4.44E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m30.03383..methanimine_CH3N.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m31.01784..formaldehyde_CH2O.H...Corr._ppb	866.0765177	294.753352	3.303729463	0	3.303729463	0.016294977	1.389533157	0.006368284	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m33.03341..METHANOL_CH3OH.H_cal...Corr._ppb	866.0765177	294.753352	7.144431856	0	7.144431856	0.016294977	1.495703156	0.01377164	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m34.99500..hydrogen_sulfide_H2S.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m41.038576..PROPYNE_C3H4.H_cal...Corr._ppb	866.0765177	294.753352	0.016963504	0	0.016963504	0.016294977	0.02797082	3.27E-05	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m42.03383..ACETONITRILE_C2H3N.H_cal...Corr._ppb	866.0765177	294.753352	0.899892488	0	0.899892488	0.016294977	0.143065112	0.001734637	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m43.05423..propene_C3H6.H...Corr._ppb	866.0765177	294.753352	0.005240088	0	0.005240088	0.016294977	0.048181582	1.01E-05	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m44.01309..isocyanic_acid_HNCO.H...Corr._ppb	866.0765177	294.753352	0.545998961	0	0.545998961	0.016294977	0.150625351	0.00105247	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m44.04950..ethenamine_C2H5N...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m45.03351..ACETALDEHYDE_C2H4O.H_cal...Corr._ppb	866.0765177	294.753352	0.922501975	0	0.922501975	0.016294977	0.40717781	0.001778219	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m46.02874..formamide_CH3NO.H...Corr._ppb	866.0765177	294.753352	0.038992995	0	0.038992995	0.016294977	0.078320149	7.52E-05	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m46.06513..ethylamine_C2H7N.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m47.01276..formic_acid_CH2O2.H...Corr._ppb	866.0765177	294.753352	9.502807731	0	9.502807731	0.016294977	1.326558252	0.018317657	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m47.04914..ETHANOL_C2H6O.H_cal...Corr._ppb	866.0765177	294.753352	0.058276267	0	0.058276267	0.016294977	0.220805856	0.000112334	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m48.00800..HONO_HNO2.H...Corr._ppb	866.0765177	294.753352	0.003523721	0	0.003523721	0.016294977	0.027930357	6.79E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m49.01065..methane_thiol_CH4S.H...Corr._ppb	866.0765177	294.753352	0.008778664	0	0.008778664	0.016294977	0.029714031	1.69E-05	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m49.02841..methane_diol_CH4O2...Corr._ppb	866.0765177	294.753352	0.131100044	0	0.131100044	0.016294977	0.079059933	0.000252709	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m52.01817..propiolonitrile_C3HN.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m53.03858..1_buten_3_yne_C4H4.H...Corr._ppb	866.0765177	294.753352	0.002229018	0	0.002229018	0.016294977	0.014346457	4.30E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m54.03382..acrylonitrile_C3H3N.H...Corr._ppb	866.0765177	294.753352	0.004357277	0	0.004357277	0.016294977	0.013622598	8.40E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m55.01784..2_propynal_C3H2O.H...Corr._ppb	866.0765177	294.753352	0.00399391	0	0.00399391	0.016294977	0.028357046	7.70E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m55.05423..butadiene_C4H6.H...Corr._ppb	866.0765177	294.753352	0.034357284	0	0.034357284	0.016294977	0.153732772	6.62E-05	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m56.04950..propane.nitrile_C3H5N.H...Corr._ppb	866.0765177	294.753352	0.033879009	0	0.033879009	0.016294977	0.029831586	6.53E-05	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m57.03351..acrolein_C3H4O.H...Corr._ppb	866.0765177	294.753352	0.060101287	0	0.060101287	0.016294977	0.080738237	0.000115852	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m57.06992..1_BUTENE.C4H8.H_cal...Corr._ppb	866.0765177	294.753352	0.000845258	0	0.000845258	0.016294977	0.013418059	1.63E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m58.02874..methyl_isocyanate_C2H3NO.H...Corr._ppb	866.0765177	294.753352	0.029833225	0	0.029833225	0.016294977	0.034950433	5.75E-05	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m58.06513..propene_amine_C3H7N.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m59.01276..glyoxal_C2H2O2.H...Corr._ppb	866.0765177	294.753352	0.006823205	0	0.006823205	0.016294977	0.018188272	1.32E-05	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m59.04914..ACETONE_C3H6O.H_cal...Corr._ppb	866.0765177	294.753352	3.948233977	0	3.948233977	0.016294977	0.624970582	0.007610634	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m60.04439..acetamide_C2H5NO.H...Corr._ppb	866.0765177	294.753352	0.148358391	0	0.148358391	0.016294977	0.060357738	0.000285976	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m60.08078..trimethylamine_C3H9N.H...Corr._ppb	866.0765177	294.753352	0.007336794	0	0.007336794	0.016294977	0.020506562	1.41E-05	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m61.02840..acetic_acid_C2H4O2.H...Corr._ppb	866.0765177	294.753352	7.226375653	0	7.226375653	0.016294977	1.309266019	0.013929595	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m61.06479..propanol_C3H8O.H...Corr._ppb	866.0765177	294.753352	0.001243103	0	0.001243103	0.016294977	0.009107921	2.40E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m62.023655..nitromethane_CH3NO2.H...Corr._ppb	866.0765177	294.753352	0.089536452	0	0.089536452	0.016294977	0.048711185	0.000172591	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m63.02630..DMS.C2H6S.H_cal...Corr._ppb	866.0765177	294.753352	0.002007787	0	0.002007787	0.016294977	0.01611658	3.87E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m66.033825..cyanoallene_isomers_C4H3N.H...Corr._ppb	866.0765177	294.753352	0.000225555	0	0.000225555	0.016294977	0.003580578	4.35E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m67.05423..1.3.cyclopentadiene_C5H6.H...Corr._ppb	866.0765177	294.753352	0.000242195	0	0.000242195	0.016294977	0.002216807	4.67E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m68.04948..pyrrol_C4H5N.H...Corr._ppb	866.0765177	294.753352	0.000628291	0	0.000628291	0.016294977	0.004435012	1.21E-06	518.7785714	0.398135904
