"Flight_ID","plume_num","dat_flg","closest_fire","emission_pass_name","IsEmissionPass","SmkBkg_flg","Age_physical_avg_min","species","PRESSURE","TEMPERATURE","LATITUDE","LONGITUDE","ALTP","RHUM","SZA","j.NO2..NO.O.3P..","j.HNO2..OH.NO.","j.H2O2..2OH.","j.HNO3..OH.NO2.","j.O3..O2.O.1D..","j.CH2O..H.HCO.","j.CH2O..H2.CO.","j.NO3..NO.O2.","j.NO3..NO2.O.3P..","conc_smk","conc_bkg","XS_ppb","HONO_CIMS","sd_abs_conc","NEMR","CO","Benzene","Toluene","CH4","O3","NO","NO2","PAN"
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m118.04987..butene_nitrates_C4H7NO3.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m118.06512..benzeneacetonitrile_C8H7N.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m119.04914..benzofuran_C8H6O.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m119.08553..indane_C9H10.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m120.08078..dihydro_pyridine_C8H9N.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m121.06479..tolualdehyde_C8H8O.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m121.10118..C9_AROMATICS_C9H12.H_cal...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m123.04406..salicylaldehyde_C7H6O2.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m123.08044..C2_phenols_C8H10O.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m124.03930..nitrobenzene_C6H5NO2.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
